Nombre,Email
Holy Trinity College – Mar del Plata,trinity@trinity.esc.edu.ar
Instituto San Alberto | Mar del Plata,nfo@institutosanalberto.edu.ar
Instituto San Alberto | Mar del Plata,info@institutosanalberto.edu.ar
Instituto San Alberto | Mar del Plata,hello@divi.edu
Instituto San Alberto | Mar del Plata,administracion@institutosanalberto.edu.ar
Colegio Fasta San Vicente de Paúl Mar del Plata,colegio.informes@svpmdp.redfasta.edu.ar
Colegio Fasta San Vicente de Paúl Mar del Plata,ingreso@svpmdp.redfasta.edu.ar
Colegio Nacional Arturo U. Illia – Universidad Nacional de Mar del Plata,evaicnai@mdp.edu.ar
Inicio | Colegio San Agustín,defe@colegiosanagustinmdp.com.ar
Instituto Stella Maris Adoratrices – Colegio Stella Maris de Mar del Plata,info@adoratricesmdp.edu.ar
ESCUELA COOPERATIVA AMUYEN – Escuela Cooperativa Amuyen – Mar del Plata,info@amuyen.edu.ar
ESCUELA COOPERATIVA AMUYEN – Escuela Cooperativa Amuyen – Mar del Plata,imagenbruja@gmail.com
Colegio Atlantico del Sur | CADS | Mar del Plata,clubcads@gmail.com
Inicio - Colegio de Martilleros y Corredores Públicos | Departamento Judicial Mar del Plata,info@martillerosmdp.com.ar
SAD Mar del Plata,planteldocente@caraludme.edu.ar
SAD Mar del Plata,cveducadores@hotmail.com
SAD Mar del Plata,postmaster@sadmardelplata.com.ar
SAD Mar del Plata,rrhh@institutogutenberg.edu.ar
SAD Mar del Plata,seguridadperito@gmail.com
SAD Mar del Plata,sadpueyrredon.avalesdiegep@gmail.com
SAD Mar del Plata,secundaria@northernhills.esc.edu.ar
SAD Mar del Plata,secundario@inmaculadamdq.com.ar
SAD Mar del Plata,direccionepcolegiosanroque@gmail.com
unmdp,webadmin@mdp.edu.ar
Delegación Mar del Plata – Colegio de Escribanos Provincia de Buenos Aires,apostillamardelplata@gmail.com
Delegación Mar del Plata – Colegio de Escribanos Provincia de Buenos Aires,delegacionmardelplataturnos@gmail.com
Delegación Mar del Plata – Colegio de Escribanos Provincia de Buenos Aires,mardelplata@colescba.org.ar
Portal de la Obra Don Bosco en Mar del Plata,idbmdp@hotmail.com
